Item,Description,Supplier,Vendor PN,Total QTY (inc. spares),Spares,Price in original currency,Currency,Price in AUD ,Total price (AUD) ,Link,Weight per part (g),Quantity per robot,Total weight (g),Notes,,,,,,,,,,,,
Motor (First Preference),Maxon - DCX 16,Maxon,N/A,12,4,$185.97,CHF,$244.98,"$2,939.76",http://www.maxonmotor.com.au/maxon/view/category/motor?etcc_med=Product&etcc_cmp=%2fmaxon%2fview%2fcontent%2fa-max-motors%3fetcc_med%3dProduct%26etcc_cmp%3d%252fmaxon%252fview%252fcontent%252fa-max-motors%253fnoMobile%26etcc_cu%3donsite%26etcc_var%3d%255b,51,4,204,,,,,,,,,,,,,
Motor (Second Preference),Maxon - Amax 19,Maxon,N/A,12,4,$124.80,CHF,$164.43,,http://www.maxonmotor.com.au/maxon/view/product/motor/dcmotor/amax/amax19/352945,59,4,,,,,,,,,,,,,,
TSOP,TSOP31140 IR Receiver,Tris10,N/A,1,0,$60.00,AUD,$60.00,$60.00,https://tris10.com/product/ir-sensor-50,1,24,24,Pack of 50,,,,,,,,,,,,
Battery,Turnigy 1300mAh 3S 30C Lipo Pack,Hobby King,T1300.3S.30 ,2,2,$14.19,AUD,$14.19,$28.38,http://www.hobbyking.com/hobbyking/store/__9493__Turnigy_1300mAh_3S_30C_Lipo_Pack.html,107,1,107,,,,,,,,,,,,,
IMU,SPI/IIC MPU-9250 9-Axis Attitude Sensor Module Gyro+Accelerator+Magnetometer,Ebay,N/A,4,4,$2.92,AUD,$2.92,$11.68,http://www.ebay.com.au/itm/New-SPI-IIC-MPU-9250-9-Axis-Attitude-Sensor-Module-Gyro-Accelerator-Magnetometer-/191152604672,2,1,2,,,,,,,,,,,,,
Switch,DC12V 20A Indicator Panel Mounting ON-OFF Car Toggle Switch,AliExpress,41375066,2,1,$4.53,AUD,$4.53,$9.06,"http://www.aliexpress.com/item/DC12V-20A-Indicator-Panel-Mounting-ON-OFF-Car-Toggle-Switch-Red-green-yellow-blue/32397900424.html?spm=2114.01010208.3.137.IBV1vn&ws_ab_test=searchweb201556_2,searchweb201644_3_505_506_503_504_10020_502_10001_10002_10017_100",2,2,4,Pack of 4,,,,,,,,,,,,
PCBs,,Bitelle,,,,,,,$400.00,,150,1,150,"Weight is for main only, cost for all",,,,,,,,,,,,
Wheels,,GTF Robot,,,,,,,$100.00,,36,4,144,,,,,,,,,,,,,
Teensy 3.5,Teensy USB Development Board,Adafruit,3267,15,9,$24.95,USD,$32.90,$493.50,https://www.adafruit.com/product/3267,4.8,3,14.4,,,,,,,,,,,,,
Bluetooth Module,HM-10 BLE Bluetooth 4.0 CC2540 CC2541 Serial Wireless Module Arduino Android IOS,Ebay,N/A,3,1,$5.90,AUD,$5.90,$17.70,http://www.ebay.com.au/itm/HM-10-BLE-Bluetooth-4-0-CC2540-CC2541-Serial-Wireless-Module-Arduino-Android-IOS-/272339050137?hash=item3f68ac1e99:g:L3kAAOSwU-pXrbiq,4,1,4,,,,,,,,,,,,,
Main PCB,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuse,FUSE AUTO 2A 32VDC BLADE MINI,DigiKey,F986-ND,0,0,$0.34,AUD,$0.34,$0.00,http://www.digikey.com.au/product-detail/en/littelfuse-inc/0297002.WXNV/F986-ND/124900,,1,,Already have these,,,,,,,,,,,,
Fuse,FUSE AUTO 7.5A 32VDC BLADE MINI,DigiKey,283-2327-ND,0,0,$1.59,AUD,$1.59,$0.00,http://www.digikey.com.au/product-detail/en/BK%2FATM-7-1%2F2/283-2327-ND/264851,,1,,Already have these,,,,,,,,,,,,
Fuse Holder,Fuse Holder 20A 500V 1 Circuit Blade PCB,DigiKey,36-3568-ND,2,2,$1.44,AUD,$1.44,$2.88,http://www.digikey.com.au/product-detail/en/keystone-electronics/3568/36-3568-ND/2137306,,2,,"Already have these, ordering two to replace the two we used",,,,,,,,,,,,
Motor Controller,"Motor Driver Bi-CMOS PWM, Serial 16-DIP",DigiKey,TB6549PGO-ND,10,4,$5.53,AUD,$5.53,$55.30,http://www.digikey.com/product-detail/en/TB6549PG(O)/TB6549PGO-ND/1730048,1.1,4,4.4,,,,,,,,,,,,,
DIP Socket,CONN IC DIP SOCKET 16POS TIN,DigiKey,AE9992-ND,20,14,$0.32,AUD,$0.32,$6.40,http://www.digikey.com.au/product-detail/en/A16-LC-TT/AE9992-ND/821746,,4,,,,,,,,,,,,,,
